	y	age	default	balance	housing	loan	contact	day	duration	campaign	pdays	previous	poutcome	admin	blue_collar	entrepreneur	housemaid	management	retired	self_employed	services	student	technician	divorced	single	tertiary	primary	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec
1	0	0.20634920634920628	0	0.2233812170648957	1	1	1	0.3333333333333333	0.1365946632782719	0.0	0.38850574712643676	0.125	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2	0	0.23809523809523814	0	0.09925647874106693	1	0	1	0.5	0.11435832274459976	0.0	0.37816091954022985	0.0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
5	0	0.23809523809523814	0	0.0774922399480257	0	0	1	0.7333333333333333	0.08640406607369759	0.1	0.20114942528735633	0.08333333333333334	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
9	0	0.3650793650793651	0	0.04735436367573811	1	1	1	0.5333333333333333	0.1956797966963151	0.0	0.167816091954023	0.041666666666666664	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
14	0	0.1746031746031746	0	0.06352414639428283	1	1	1	0.9333333333333333	0.053367217280813214	0.0	0.27586206896551724	0.0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0.26984126984126977	0	0.13415866599292572	1	0	1	0.6333333333333333	0.06925031766200762	0.0	0.1735632183908046	0.041666666666666664	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
38	1	0.20634920634920628	0	0.19255756875766983	1	0	1	0.16666666666666669	0.48284625158831007	0.0	0.39195402298850573	0.041666666666666664	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
65	0	0.4920634920634921	0	0.057857503789792826	1	0	1	0.23333333333333334	0.08195679796696316	0.0	0.19425287356321838	0.16666666666666666	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
70	1	0.26984126984126977	0	0.05053057099545225	0	0	1	0.5	0.1670902160101652	0.1	0.20804597701149427	0.08333333333333334	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
79	0	0.31746031746031744	0	0.05843499602974085	1	0	1	0.5333333333333333	0.12642947903430748	0.1	0.22413793103448276	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
83	1	0.5079365079365079	0	0.07424384609831805	0	0	0	0.2	0.24968233799237613	0.1	0.5275862068965518	0.041666666666666664	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
97	0	0.15873015873015872	0	0.05995091315960442	0	0	1	0.6	0.144853875476493	0.0	0.15632183908045977	0.7916666666666666	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
98	0	0.25396825396825395	0	0.15314372338121707	0	0	1	0.3666666666666667	0.2973316391359594	0.0	0.20804597701149427	0.0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
